rt	wlen	unigramsurp	subject	docid	sentid	sentpos
920	3	2.9162576	s024	Boar	2	2
1010	3	2.9162576	s043	Boar	2	2
1460	3	2.9162576	s052	Boar	2	2
795	3	2.9162576	s067	Boar	2	2
1668	3	2.9162576	s085	Boar	2	2
1413	4	5.391283	s009	Boar	2	3
1931	4	5.391283	s016	Boar	2	3
816	4	5.391283	s024	Boar	2	3
1025	4	5.391283	s043	Boar	2	3
2469	4	5.391283	s067	Boar	2	3
4018	4	5.391283	s085	Boar	2	3
778	6	4.4022536	s009	Boar	2	4
1229	6	4.4022536	s016	Boar	2	4
1120	6	4.4022536	s024	Boar	2	4
2653	6	4.4022536	s043	Boar	2	4
1181	6	4.4022536	s052	Boar	2	4
824	6	4.4022536	s067	Boar	2	4
1960	6	4.4022536	s085	Boar	2	4
1005	4	2.583027	s009	Boar	2	5
812	4	2.583027	s016	Boar	2	5
1232	4	2.583027	s043	Boar	2	5
924	4	2.583027	s052	Boar	2	5
2385	4	2.583027	s067	Boar	2	5
603	4	2.583027	s085	Boar	2	5
712	9	4.349705	s009	Boar	2	6
1148	9	4.349705	s016	Boar	2	6
1232	9	4.349705	s024	Boar	2	6
1105	9	4.349705	s043	Boar	2	6
904	9	4.349705	s052	Boar	2	6
1634	9	4.349705	s067	Boar	2	6
884	9	4.349705	s085	Boar	2	6
1036	4	4.609301	s009	Boar	2	7
1139	4	4.609301	s016	Boar	2	7
952	4	4.609301	s024	Boar	2	7
873	4	4.609301	s043	Boar	2	7
1251	4	4.609301	s052	Boar	2	7
913	4	4.609301	s067	Boar	2	7
622	4	4.609301	s085	Boar	2	7
764	2	2.321949	s009	Boar	2	8
769	2	2.321949	s016	Boar	2	8
1129	2	2.321949	s024	Boar	2	8
847	2	2.321949	s043	Boar	2	8
626	2	2.321949	s052	Boar	2	8
825	2	2.321949	s067	Boar	2	8
607	2	2.321949	s085	Boar	2	8
1036	7	6.8626328	s009	Boar	2	9
671	7	6.8626328	s016	Boar	2	9
1423	7	6.8626328	s024	Boar	2	9
1310	7	6.8626328	s043	Boar	2	9
749	7	6.8626328	s052	Boar	2	9
1240	7	6.8626328	s067	Boar	2	9
1600	7	6.8626328	s085	Boar	2	9
544	3	1.6774666	s009	Boar	2	10
509	3	1.6774666	s016	Boar	2	10
1136	3	1.6774666	s024	Boar	2	10
755	3	1.6774666	s043	Boar	2	10
483	3	1.6774666	s052	Boar	2	10
1443	3	1.6774666	s067	Boar	2	10
630	3	1.6774666	s085	Boar	2	10
860	5	4.160895	s009	Boar	2	11
1276	5	4.160895	s016	Boar	2	11
1176	5	4.160895	s024	Boar	2	11
4486	5	4.160895	s043	Boar	2	11
984	5	4.160895	s052	Boar	2	11
892	5	4.160895	s067	Boar	2	11
653	5	4.160895	s085	Boar	2	11
1136	7	4.6650677	s009	Boar	2	12
852	7	4.6650677	s016	Boar	2	12
1392	7	4.6650677	s024	Boar	2	12
1057	7	4.6650677	s043	Boar	2	12
1241	7	4.6650677	s052	Boar	2	12
1188	7	4.6650677	s067	Boar	2	12
727	7	4.6650677	s085	Boar	2	12
497	4	2.2281053	s009	Boar	2	13
559	4	2.2281053	s016	Boar	2	13
992	4	2.2281053	s024	Boar	2	13
601	4	2.2281053	s043	Boar	2	13
756	4	2.2281053	s052	Boar	2	13
719	4	2.2281053	s067	Boar	2	13
552	4	2.2281053	s085	Boar	2	13
1200	10	4.030746	s009	Boar	2	14
937	10	4.030746	s016	Boar	2	14
1760	10	4.030746	s024	Boar	2	14
826	10	4.030746	s043	Boar	2	14
924	10	4.030746	s052	Boar	2	14
899	10	4.030746	s067	Boar	2	14
847	10	4.030746	s085	Boar	2	14
792	3	2.065867	s009	Boar	2	15
531	3	2.065867	s016	Boar	2	15
1464	3	2.065867	s024	Boar	2	15
927	3	2.065867	s043	Boar	2	15
635	3	2.065867	s052	Boar	2	15
988	3	2.065867	s067	Boar	2	15
606	3	2.065867	s085	Boar	2	15
779	5	3.2350552	s009	Boar	2	16
756	5	3.2350552	s016	Boar	2	16
1429	5	3.2350552	s024	Boar	2	16
758	5	3.2350552	s043	Boar	2	16
715	5	3.2350552	s052	Boar	2	16
1304	5	3.2350552	s067	Boar	2	16
2105	5	3.2350552	s085	Boar	2	16
776	2	3.1295903	s009	Boar	2	17
865	2	3.1295903	s016	Boar	2	17
1011	2	3.1295903	s024	Boar	2	17
870	2	3.1295903	s043	Boar	2	17
675	2	3.1295903	s052	Boar	2	17
1623	2	3.1295903	s067	Boar	2	17
1175	2	3.1295903	s085	Boar	2	17
869	10	4.253017	s009	Boar	2	18
1064	10	4.253017	s016	Boar	2	18
712	10	4.253017	s024	Boar	2	18
1578	10	4.253017	s043	Boar	2	18
815	10	4.253017	s052	Boar	2	18
1006	10	4.253017	s067	Boar	2	18
817	10	4.253017	s085	Boar	2	18
967	3	1.6774666	s009	Boar	2	19
580	3	1.6774666	s016	Boar	2	19
688	3	1.6774666	s024	Boar	2	19
858	3	1.6774666	s043	Boar	2	19
775	3	1.6774666	s052	Boar	2	19
543	3	1.6774666	s067	Boar	2	19
543	3	1.6774666	s085	Boar	2	19
700	4	3.4493263	s009	Boar	2	20
1075	4	3.4493263	s016	Boar	2	20
904	4	3.4493263	s024	Boar	2	20
1387	4	3.4493263	s043	Boar	2	20
884	4	3.4493263	s052	Boar	2	20
1092	4	3.4493263	s067	Boar	2	20
908	4	3.4493263	s085	Boar	2	20
584	3	3.2289176	s009	Boar	2	21
796	3	3.2289176	s016	Boar	2	21
800	3	3.2289176	s024	Boar	2	21
923	3	3.2289176	s043	Boar	2	21
716	3	3.2289176	s052	Boar	2	21
2292	3	3.2289176	s067	Boar	2	21
806	3	3.2289176	s085	Boar	2	21
1020	3	2.2190843	s009	Boar	2	22
2501	3	2.2190843	s016	Boar	2	22
536	3	2.2190843	s024	Boar	2	22
3526	3	2.2190843	s052	Boar	2	22
3850	3	2.2190843	s067	Boar	2	22
1787	3	2.2190843	s085	Boar	2	22
841	5	3.7065444	s009	Boar	2	23
1060	5	3.7065444	s016	Boar	2	23
968	5	3.7065444	s024	Boar	2	23
1350	5	3.7065444	s043	Boar	2	23
1640	5	3.7065444	s052	Boar	2	23
2419	5	3.7065444	s067	Boar	2	23
2760	5	3.7065444	s085	Boar	2	23
507	2	1.6088771	s009	Boar	2	24
876	2	1.6088771	s043	Boar	2	24
664	2	1.6088771	s052	Boar	2	24
596	2	1.6088771	s067	Boar	2	24
859	2	1.6088771	s085	Boar	2	24
521	3	1.2888894	s009	Boar	2	25
1140	3	1.2888894	s016	Boar	2	25
